citizen_id;contact_id;last_contact_time_ms
4984;245547;63909959231368
10001;143502;63909850624461
13145;660651;63909872640923
13463;106757;63909901324499
13463;118910;63909901324499
13463;958027;63909802302062
13463;997221;63909901324499
21291;238941;63909861048795
21291;450240;63909880284945
21291;559952;63909873250693
21291;776555;63909891245424
21291;863971;63909881202752
21291;959700;63909881202752
25889;100203;63909872945599
25889;142729;63909858244452
25889;430436;63909984578838
25889;550585;63909859515342
25889;550981;63909872945599
25889;734703;63909984578838
25889;961517;63909891245424
28583;648618;63909984578838
28583;707638;63909984578838
30805;15258;63909941232794
30805;584100;63909811446997
30805;589220;63909941232794
30805;996609;63909821032286
30805;1018164;63909941232794
34897;250023;63909851537732
41655;68675;63909818250981
41655;318650;63909829098783
41655;325608;63909907832993
41655;411261;63909815154363
41655;442368;63909879980554
41655;1020068;63909823516603
41655;1028583;63909941543496
42904;377416;63909843301915
42904;553861;63909954969011
63157;780937;63909935133366
63157;842596;63909935436937
63780;37198;63909941543496
68435;161110;63909944599574
68435;533067;63909901950388
68435;648618;63909888824135
68435;924237;63909984578838
73935;4099;63909943683447
73935;161110;63909961360050
74359;529495;63909984578838
74681;115856;63909942459508
74681;146067;63909942459508
77088;480831;63909942459508
77088;913977;63909868683203
77088;1047575;63909899789060
86110;52363;63909984578838
86110;998702;63909984578838
93255;110307;63909984578838
93255;181414;63909984578838
93255;360919;63909943070412
105240;51751;63909806866541
105240;79132;63909984578838
105240;182739;63909861048795
105240;310428;63909806866541
105240;711094;63909958930672
122219;110307;63909875395376
122219;360919;63909875395376
122219;715313;63909814531715
122219;932837;63909825065400
128509;177523;63909848492143
128509;626086;63909886997423
128509;633068;63909888523179
128509;755299;63909840541715
138770;370732;63909836826207
138770;441086;63909971421499
138770;929860;63909931476681
160518;256032;63909952525437
160518;743970;63909853982711
160518;833076;63909890336045
160518;859247;63909859515342
160736;257954;63909947339557
160736;454411;63909857034228
160736;552240;63909941850660
160736;857850;63909962574735
163283;207338;63909868985196
163283;818106;63909870509315
165333;67929;63909872032392
165333;188040;63909876614216
165333;411261;63909944904289
165333;549464;63909849397592
165333;777753;63909876614216
172508;509925;63909846352802
172508;646725;63909781228766
172508;698389;63909837451658
175946;169002;63909907200189
178969;127897;63909848492143
181416;110307;63909984578838
181416;181414;63909984578838
181912;39900;63909877538433
187838;245547;63909948252168
187838;279478;63909812671287
191249;51751;63909846966440
191249;81468;63909875094747
191249;163770;63909886688669
191249;260851;63909805951416
191249;310428;63909815772677
191249;398480;63909813900522
191249;514043;63909908452607
191249;711094;63909945512531
196355;15258;63909958010796
196355;589220;63909984578838
196355;1018164;63909984578838
208627;51751;63909846966440
208627;79132;63909984578838
208627;294614;63909880284945
208627;411261;63909883328867
208627;711094;63909958930672
208789;110307;63909984578838
208789;181414;63909984578838
210591;121515;63909879063001
