time_ms;healthy;sick;recovered;dead
63909693309000;1716;469;0;0
63909693610669;1716;469;0;0
63909693911430;1716;469;0;0
63909694212818;1716;469;0;0
63909694518147;1716;469;0;0
63909694822806;1716;469;0;0
63909695124539;1716;469;0;0
63909695427333;1716;469;0;0
63909695734977;1716;469;0;0
63909696037643;1716;469;0;0
63909696346076;1716;469;0;0
63909696650497;1716;469;0;0
63909696959920;1716;469;0;0
63909697266719;1716;469;0;0
63909697574153;1716;469;0;0
63909697876903;1716;469;0;0
63909698177039;1716;469;0;0
63909698487660;1716;469;0;0
63909698792102;1716;469;0;0
63909699099036;1716;469;0;0
63909699400152;1716;469;0;0
63909699702849;1716;469;0;0
63909700002961;1716;469;0;0
63909700309092;1716;469;0;0
63909700609728;1716;469;0;0
63909700919007;1716;469;0;0
63909701223864;1716;469;0;0
63909701539656;1716;469;0;0
63909701855059;1716;469;0;0
63909702159575;1716;469;0;0
63909702466117;1716;469;0;0
63909702774921;1716;469;0;0
63909703082893;1716;469;0;0
63909703383374;1716;469;0;0
63909703687984;1716;469;0;0
63909703997554;1716;469;0;0
63909704298624;1716;469;0;0
63909704607360;1716;469;0;0
63909704916006;1716;469;0;0
63909705220415;1716;469;0;0
63909705524696;1716;469;0;0
63909705826945;1716;469;0;0
63909706135573;1716;469;0;0
63909706440948;1716;469;0;0
63909706748029;1716;469;0;0
63909707052283;1716;469;0;0
63909707357205;1716;469;0;0
63909707658634;1716;469;0;0
63909707969387;1716;469;0;0
63909708276177;1716;469;0;0
63909708589532;1716;469;0;0
63909708894419;1716;469;0;0
63909709200542;1716;469;0;0
63909709503103;1716;469;0;0
63909709814311;1716;469;0;0
63909710119207;1716;469;0;0
63909710421617;1716;469;0;0
63909710731264;1716;469;0;0
63909711038506;1716;469;0;0
63909711347488;1716;469;0;0
63909711652673;1716;469;0;0
63909711959081;1716;469;0;0
63909712263588;1716;469;0;0
63909712565143;1716;469;0;0
63909712866782;1716;469;0;0
63909713173414;1716;469;0;0
63909713480090;1716;469;0;0
63909713786939;1716;469;0;0
63909714088622;1716;469;0;0
63909714390960;1716;469;0;0
63909714702961;1716;469;0;0
63909715008996;1716;469;0;0
63909715313321;1716;469;0;0
63909715614720;1716;469;0;0
63909715919111;1716;469;0;0
63909716223833;1716;469;0;0
63909716531000;1716;469;0;0
63909716832255;1716;469;0;0
63909717140275;1716;469;0;0
63909717450237;1716;469;0;0
63909717754680;1716;469;0;0
63909718063609;1716;469;0;0
63909718365824;1716;469;0;0
63909718673763;1716;469;0;0
63909718986062;1716;469;0;0
63909719293949;1716;469;0;0
63909719597367;1716;469;0;0
63909719898428;1716;469;0;0
63909720201827;1716;469;0;0
63909720514581;1716;469;0;0
63909720816483;1716;469;0;0
63909721121899;1716;469;0;0
63909721428958;1716;469;0;0
63909721730381;1716;469;0;0
63909722032630;1716;469;0;0
63909722339473;1716;469;0;0
63909722650232;1716;469;0;0
63909722953942;1716;469;0;0
63909723257094;1716;469;0;0
63909723569237;1716;469;0;0
63909723874984;1716;469;0;0
63909724182855;1716;469;0;0
63909724493750;1716;469;0;0
63909724799255;1716;469;0;0
63909725100972;1716;469;0;0
63909725409647;1716;469;0;0
63909725715938;1716;469;0;0
63909726029302;1716;469;0;0
63909726340363;1716;469;0;0
63909726642479;1716;469;0;0
63909726947949;1716;469;0;0
63909727286346;1716;469;0;0
63909727589171;1716;469;0;0
63909727907163;1716;469;0;0
63909728236829;1716;469;0;0
63909728543240;1716;469;0;0
63909728861372;1716;469;0;0
63909729175678;1716;469;0;0
63909729491708;1716;469;0;0
63909729795207;1716;469;0;0
63909730103681;1716;469;0;0
63909730405847;1716;469;0;0
63909730708660;1716;469;0;0
63909731012670;1716;469;0;0
63909731320874;1716;469;0;0
63909731623983;1716;469;0;0
63909731929418;1716;469;0;0
63909732234736;1716;469;0;0
63909732535812;1716;469;0;0
63909732850140;1716;469;0;0
63909733162581;1716;469;0;0
63909733470299;1716;469;0;0
63909733786664;1716;469;0;0
63909734106469;1716;469;0;0
63909734410383;1716;469;0;0
63909734725850;1716;469;0;0
63909735039279;1716;469;0;0
63909735362403;1716;469;0;0
63909735678748;1716;469;0;0
63909735991144;1716;469;0;0
63909736295314;1716;469;0;0
63909736608736;1716;469;0;0
63909736925559;1716;469;0;0
63909737242269;1716;469;0;0
63909737560045;1716;469;0;0
63909737861719;1716;469;0;0
63909738186739;1716;469;0;0
63909738499756;1716;469;0;0
63909738816453;1716;469;0;0
63909739136968;1716;469;0;0
63909739450576;1716;469;0;0
63909739756277;1716;469;0;0
63909740073991;1716;469;0;0
63909740401564;1716;469;0;0
63909740727329;1716;469;0;0
63909741045516;1716;469;0;0
63909741351506;1716;469;0;0
63909741673861;1716;469;0;0
63909741986127;1716;469;0;0
63909742311939;1716;469;0;0
63909742627612;1716;469;0;0
63909742934720;1716;469;0;0
63909743242909;1716;469;0;0
63909743549920;1716;469;0;0
63909743881614;1716;469;0;0
63909744181820;1716;469;0;0
63909744493211;1716;469;0;0
63909744802613;1716;469;0;0
63909745121377;1716;469;0;0
63909745440424;1716;469;0;0
63909745742093;1716;469;0;0
63909746055562;1716;469;0;0
63909746376161;1716;469;0;0
63909746698724;1716;469;0;0
63909747016359;1716;469;0;0
63909747319978;1716;469;0;0
63909747641360;1716;469;0;0
63909747959803;1716;469;0;0
63909748279788;1716;469;0;0
63909748597642;1716;469;0;0
63909748921954;1716;469;0;0
63909749241834;1716;469;0;0
63909749556518;1716;469;0;0
63909749878525;1716;469;0;0
63909750196089;1716;469;0;0
63909750512006;1716;469;0;0
63909750814572;1716;469;0;0
63909751132757;1716;469;0;0
63909751448288;1716;469;0;0
63909751749558;1716;469;0;0
63909752061654;1716;469;0;0
63909752378349;1716;469;0;0
63909752700444;1716;469;0;0
63909753015131;1716;469;0;0
63909753335963;1716;469;0;0
63909753656890;1716;469;0;0
63909753979261;1716;469;0;0
63909754302055;1716;469;0;0
63909754618642;1716;469;0;0
63909754937901;1716;469;0;0
63909755251083;1716;469;0;0
63909755563750;1716;469;0;0
63909755883518;1716;469;0;0
63909756184581;1716;469;0;0
63909756489350;1716;469;0;0
63909756791330;1716;469;0;0
63909757094400;1716;469;0;0
63909757399380;1716;469;0;0
63909757711806;1716;469;0;0
63909758014611;1716;469;0;0
63909758325197;1716;469;0;0
63909758626537;1716;469;0;0
63909758930580;1716;469;0;0
63909759248789;1716;469;0;0
63909759560861;1716;469;0;0
63909759868401;1716;469;0;0
63909760171639;1716;469;0;0
63909760474383;1716;469;0;0
